PASSENGERS,ORIGIN,DEST,YEAR,MONTH
0,ANC,GNU,2018,1
0,ANC,HCR,2018,1
0,ANC,HPB,2018,1
0,ANC,HSL,2018,1
0,ANC,IAN,2018,1
0,ANC,KGX,2018,1
0,ANC,KKA,2018,1
0,ANC,KKH,2018,1
0,ANC,KKI,2018,1
0,ANC,KLG,2018,1
0,ANC,KOT,2018,1
0,ANC,KPN,2018,1
0,ANC,KUK,2018,1
0,ANC,KVL,2018,1
0,ANC,KWK,2018,1
0,ANC,KWN,2018,1
0,ANC,KWT,2018,1
0,ANC,MLL,2018,1
0,ANC,MOU,2018,1
0,ANC,MSP,2018,1
0,ANC,MYU,2018,1
0,ANC,NME,2018,1
0,ANC,NUI,2018,1
0,ANC,NUL,2018,1
0,ANC,NUP,2018,1
0,ANC,OBU,2018,1
0,ANC,OME,2018,1
0,ANC,OOK,2018,1
0,ANC,ORV,2018,1
0,ANC,PHO,2018,1
0,ANC,PIZ,2018,1
0,ANC,PKA,2018,1
0,ANC,PQS,2018,1
0,ANC,PTU,2018,1
0,ANC,RDV,2018,1
0,ANC,RSH,2018,1
0,ANC,SCM,2018,1
0,ANC,SHG,2018,1
0,ANC,SHH,2018,1
0,ANC,SHX,2018,1
0,ANC,SKK,2018,1
0,ANC,SLQ,2018,1
0,ANC,SMK,2018,1
0,ANC,SVA,2018,1
0,ANC,SXP,2018,1
0,ANC,TLT,2018,1
0,ANC,TNK,2018,1
0,ANC,VAK,2018,1
0,ANC,WAA,2018,1
0,ANC,WBB,2018,1
0,ANC,WLK,2018,1
0,ANC,WMO,2018,1
0,ANC,WNA,2018,1
0,ANC,WTK,2018,1
0,ANC,WTL,2018,1
0,ANC,WWT,2018,1
0,BET,BKC,2018,1
0,BET,BRW,2018,1
0,BET,ENA,2018,1
0,BET,FAI,2018,1
0,BET,UNK,2018,1
0,BET,WTK,2018,1
0,ENA,ADQ,2018,1
0,ENA,BET,2018,1
0,ENA,BRW,2018,1
0,ENA,FAI,2018,1
0,ENA,HOM,2018,1
0,ENA,KKI,2018,1
0,ENA,KWT,2018,1
0,ENA,MSP,2018,1
0,ENA,NME,2018,1
0,ENA,SCC,2018,1
0,ENA,VDZ,2018,1
0,FAI,ADQ,2018,1
0,FAI,AIN,2018,1
0,FAI,ANI,2018,1
0,FAI,ANV,2018,1
0,FAI,ATK,2018,1
0,FAI,BET,2018,1
0,FAI,BRW,2018,1
0,FAI,BTI,2018,1
0,FAI,CKD,2018,1
0,FAI,ENA,2018,1
0,FAI,GAM,2018,1
0,FAI,HCR,2018,1
0,FAI,HOM,2018,1
0,FAI,HPB,2018,1
0,FAI,IAN,2018,1
0,FAI,KGX,2018,1
0,FAI,KKH,2018,1
0,FAI,KKI,2018,1
0,FAI,KLG,2018,1
0,FAI,KTS,2018,1
0,FAI,KVL,2018,1
0,FAI,KWT,2018,1
0,FAI,MYU,2018,1
0,FAI,NME,2018,1
0,FAI,NUI,2018,1
0,FAI,OBU,2018,1
0,FAI,OME,2018,1
0,FAI,OOK,2018,1
0,FAI,OTZ,2018,1
0,FAI,PHO,2018,1
0,FAI,PIZ,2018,1
0,FAI,RSH,2018,1
0,FAI,SHG,2018,1
0,FAI,SHX,2018,1
0,FAI,SKK,2018,1
0,FAI,SVA,2018,1
0,FAI,TNK,2018,1
0,FAI,VDZ,2018,1
0,FAI,WAA,2018,1
0,FAI,WMO,2018,1
0,FAI,WNA,2018,1
0,FAI,WWT,2018,1
0,HOM,ADQ,2018,1
0,HOM,ANI,2018,1
0,HOM,BRW,2018,1
0,HOM,CDV,2018,1
0,HOM,ENA,2018,1
0,HOM,FAI,2018,1
0,HOM,KSM,2018,1
0,HOM,OTZ,2018,1
0,HOM,SCC,2018,1
0,HOM,VDZ,2018,1
0,KSM,ENA,2018,1
0,KSM,PIZ,2018,1
0,OTZ,ENA,2018,1
0,OTZ,FAI,2018,1
0,SCC,AKP,2018,1
0,SCC,ENA,2018,1
0,SCC,IAN,2018,1
0,SCC,WTK,2018,1
0,UNK,AKP,2018,1
0,UNK,FAI,2018,1
0,UNK,KSM,2018,1
0,UNK,SLQ,2018,1
0,VDZ,BET,2018,1
0,VDZ,ENA,2018,1
0,VDZ,FAI,2018,1
0,VDZ,HOM,2018,1
0,VDZ,SCC,2018,1
0,ADQ,AUK,2018,2
0,ADQ,FAI,2018,2
0,ADQ,HOM,2018,2
0,AKN,VDZ,2018,2
0,ANC,ABL,2018,2
0,ANC,AIN,2018,2
0,ANC,AKI,2018,2
0,ANC,AKP,2018,2
0,ANC,ANV,2018,2
0,ANC,ATK,2018,2
0,ANC,ATT,2018,2
0,ANC,BKC,2018,2
0,ANC,BRW,2018,2
0,ANC,BTI,2018,2
0,ANC,CHU,2018,2
0,ANC,CKD,2018,2
0,ANC,CYF,2018,2
0,ANC,DRG,2018,2
0,ANC,EEK,2018,2
0,ANC,ELI,2018,2
0,ANC,EMK,2018,2
0,ANC,FYU,2018,2
0,ANC,GAL,2018,2
0,ANC,GAM,2018,2
0,ANC,GNU,2018,2
0,ANC,HCR,2018,2
0,ANC,HPB,2018,2
0,ANC,HSL,2018,2
0,ANC,IAN,2018,2
0,ANC,KAL,2018,2
0,ANC,KGX,2018,2
0,ANC,KKA,2018,2
0,ANC,KKH,2018,2
0,ANC,KKI,2018,2
0,ANC,KLG,2018,2
0,ANC,KOT,2018,2
0,ANC,KPN,2018,2
0,ANC,KTS,2018,2
0,ANC,KUK,2018,2
0,ANC,KVL,2018,2
0,ANC,KWK,2018,2
0,ANC,KWN,2018,2
0,ANC,KWT,2018,2
0,ANC,KYU,2018,2
0,ANC,MLL,2018,2
0,ANC,MOU,2018,2
0,ANC,MYU,2018,2
0,ANC,NME,2018,2
0,ANC,NUI,2018,2
0,ANC,NUP,2018,2
0,ANC,OBU,2018,2
0,ANC,OME,2018,2
0,ANC,OOK,2018,2
0,ANC,ORV,2018,2
0,ANC,PHO,2018,2
0,ANC,PIZ,2018,2
0,ANC,PKA,2018,2
0,ANC,PQS,2018,2
0,ANC,RDV,2018,2
0,ANC,RSH,2018,2
0,ANC,SCM,2018,2
0,ANC,SHG,2018,2
0,ANC,SHX,2018,2
0,ANC,SKK,2018,2
0,ANC,SLQ,2018,2
0,ANC,SMK,2018,2
0,ANC,SRV,2018,2
0,ANC,SXP,2018,2
0,ANC,TLT,2018,2
0,ANC,TNK,2018,2
0,ANC,VAK,2018,2
0,ANC,WBB,2018,2
0,ANC,WLK,2018,2
0,ANC,WMO,2018,2
0,ANC,WNA,2018,2
0,ANC,WTK,2018,2
0,ANC,WTL,2018,2
0,ANC,WWT,2018,2
0,BET,BRW,2018,2
0,BET,ELI,2018,2
0,BET,ENA,2018,2
0,BET,FAI,2018,2
0,BET,GAL,2018,2
0,BET,HOM,2018,2
0,BET,SKK,2018,2
0,BET,SVA,2018,2
0,BET,WBB,2018,2
0,ENA,AKN,2018,2
0,ENA,BET,2018,2
0,ENA,GAL,2018,2
0,ENA,HOM,2018,2
0,ENA,KLG,2018,2
0,ENA,KWT,2018,2
0,ENA,OME,2018,2
0,ENA,PQS,2018,2
0,ENA,SCC,2018,2
0,ENA,TNK,2018,2
0,ENA,VDZ,2018,2
0,FAI,ABL,2018,2
0,FAI,ADQ,2018,2
0,FAI,AIN,2018,2
0,FAI,AKN,2018,2
0,FAI,ANI,2018,2
0,FAI,ANV,2018,2
0,FAI,ATK,2018,2
0,FAI,BET,2018,2
0,FAI,BKC,2018,2
0,FAI,BRW,2018,2
0,FAI,CYF,2018,2
0,FAI,ENA,2018,2
0,FAI,GAM,2018,2
0,FAI,HOM,2018,2
0,FAI,HPB,2018,2
0,FAI,IAN,2018,2
0,FAI,KGX,2018,2
0,FAI,KLG,2018,2
0,FAI,KSM,2018,2
0,FAI,KTS,2018,2
0,FAI,KVL,2018,2
0,FAI,MLL,2018,2
0,FAI,MOU,2018,2
0,FAI,NUI,2018,2
0,FAI,OTZ,2018,2
0,FAI,PHO,2018,2
0,FAI,PIZ,2018,2
0,FAI,RSH,2018,2
0,FAI,TNK,2018,2
0,FAI,UNK,2018,2
0,FAI,VDZ,2018,2
0,FAI,WBB,2018,2
0,FAI,WMO,2018,2
0,FAI,WWT,2018,2
0,HOM,ADQ,2018,2
0,HOM,BRW,2018,2
0,HOM,FAI,2018,2
0,HOM,OME,2018,2
0,HOM,VDZ,2018,2
0,KSM,ENA,2018,2
0,KSM,OME,2018,2
0,KSM,SMK,2018,2
0,OTZ,FAI,2018,2
0,OTZ,GAL,2018,2
0,OTZ,KGX,2018,2
0,SCC,AKP,2018,2
0,SCC,HOM,2018,2
0,UNK,EEK,2018,2
0,UNK,ENA,2018,2
0,UNK,FAI,2018,2
0,UNK,MOU,2018,2
0,VDZ,ENA,2018,2
0,VDZ,FAI,2018,2
0,VDZ,HOM,2018,2
0,ADQ,AKN,2018,3
0,ADQ,ENA,2018,3
0,ADQ,FAI,2018,3
0,ADQ,HOM,2018,3
0,ANC,ABL,2018,3
0,ANC,AIN,2018,3
0,ANC,AKI,2018,3
0,ANC,AKP,2018,3
0,ANC,ANV,2018,3
0,ANC,ATK,2018,3
0,ANC,ATT,2018,3
0,ANC,AUK,2018,3
0,ANC,BKC,2018,3
0,ANC,BRW,2018,3
0,ANC,CHU,2018,3
0,ANC,CKD,2018,3
0,ANC,CYF,2018,3
0,ANC,DRG,2018,3
0,ANC,EEK,2018,3
0,ANC,ELI,2018,3
0,ANC,EMK,2018,3
0,ANC,FYU,2018,3
0,ANC,GAL,2018,3
