Site	Round	Plant_id	Plant_Family	Plant_Gen_Sp	Insect_id	Insect_Order	Insect_Family	Insect_Gen_Sp	Number_of_visits_per6min
BAT2CA	3	32	Asteracea	Sonchus_tenerrinus	203	Hymenoptera	Andrenidae	Andrena	1
BAT2CA	4	31	Asteracea	Urospermum_picrioides	23	Hymenoptera	Colletidae	Colletes	1
BAT2CA	4	32	Asteracea	Sonchus_tenerrinus	105	Coleoptera	Oedemeridae	Oedemera_lurida	3
BAT1CA	5	24	Labiada	Lavandula_stoechas	182	Hymenoptera	Megachilidae	Megaquile	1
BAT1CA	5	24	Labiada	Lavandula_stoechas	206	Hymenoptera	Hailictidae	Sphecodes	1
BAT1CA	5	24	Labiada	Lavandula_stoechas	217	Hymenoptera	Megachilidae	Anthidium	1
BAT1CA	5	24	Labiada	Lavandula_stoechas	242	Hymenoptera	Halictidae	Halictus	1
BAT2CA	4	31	Asteracea	Urospermum_picrioides	106	Coleoptera	Scarabaeidae	Oxythyrea_funesta	1
BAT2CA	4	31	Asteracea	Urospermum_picrioides	114	Coleoptera	Dasytidae	Psilothrix	1
BAT2CA	1	8	Asteracea	Aetheorrina_bulbosa	29	Hymenoptera	Halictidae	Halictus_gemmeus	1
BAT2CA	4	31	Asteracea	Urospermum_picrioides	115	Coleoptera	Chrysomelidae	Criptocephalus	1
BAT2CA	1	21	Euforbeacea	Euphorbea_segatalis	47	Hymenoptera	Formicidae	Plagiolepsis_pigmaea	1
BAT2CA	4	32	Asteracea	Sonchus_tenerrinus	115	Coleoptera	Chrysomelidae	Criptocephalus	1
BAT2CA	1	4	Aizoacea	Carpobrotus_spp._acinaciformis	11	Hymenoptera	Megachilidae	Anthidium_sticticum	1
BAT2CA	1	24	Labiada	Lavandula_stoechas	11	Hymenoptera	Megachilidae	Anthidium_sticticum	3
BAT2CA	1	8	Asteracea	Aetheorrina_bulbosa	32	Hymenoptera	Halictidae	Lasioglossum	1
BAT2CA	4	32	Asteracea	Sonchus_tenerrinus	125	Coleoptera	Oedemeridae	Oedemera_flavipes	4
BAT2CA	1	4	Aizoacea	Carpobrotus_spp._acinaciformis	106	Coleoptera	Scarabaeidae	Oxythyrea_funesta	2
BAT2CA	1	4	Aizoacea	Carpobrotus_spp._acinaciformis	114	Coleoptera	Dasytidae	Psilothrix	5
BAT2CA	1	8	Asteracea	Aetheorrina_bulbosa	114	Coleoptera	Dasytidae	Psilothrix	4
BAT2CA	1	24	Labiada	Lavandula_stoechas	172	Lepidoptera	Lycaneidae	Callophrys_rubi	1
BAT2CA	1	21	Euforbeacea	Euphorbea_segatalis	174	Hymenoptera	Anthophoridae	Nomada	1
BAT2CA	1	24	Labiada	Lavandula_stoechas	175	Hymenoptera	Halictidae	Lasioglossum	2
BAT2CA	4	32	Asteracea	Sonchus_tenerrinus	187	Hymenoptera	Andrenidae	Andrena	1
BAT2CA	1	24	Labiada	Lavandula_stoechas	184	Hymenoptera	Anthophoridae	Amegilla_femorata?	2
BAT2CA	1	4	Aizoacea	Carpobrotus_spp._acinaciformis	186	Hymenoptera	Andrenidae	Andrena	1
BAT2CA	1	4	Aizoacea	Carpobrotus_spp._acinaciformis	188	Hymenoptera	Andrenidae	Andrena	1
BAT2CA	2	4	Aizoacea	Carpobrotus_spp._acinaciformis	11	Hymenoptera	Megachilidae	Anthidium_sticticum	1
BAT2CA	2	24	Labiada	Lavandula_stoechas	11	Hymenoptera	Megachilidae	Anthidium_sticticum	4
BAT2CA	4	32	Asteracea	Sonchus_tenerrinus	194	Hymenoptera	Anthophoridae	Nomada	1
BAT2CA	2	4	Aizoacea	Carpobrotus_spp._acinaciformis	47	Hymenoptera	Formicidae	Plagiolepsis_pigmaea	2
BAT2CA	2	4	Aizoacea	Carpobrotus_spp._acinaciformis	106	Coleoptera	Scarabaeidae	Oxythyrea_funesta	2
BAT2CA	2	4	Aizoacea	Carpobrotus_spp._acinaciformis	112	Coleoptera	Ptinidae?_Bruchidae?	C7	1
BAT2CA	2	4	Aizoacea	Carpobrotus_spp._acinaciformis	114	Coleoptera	Dasytidae	Psilothrix	5
BAT2CA	2	8	Asteracea	Aetheorrina_bulbosa	114	Coleoptera	Dasytidae	Psilothrix	4
BAT2CA	4	32	Asteracea	Sonchus_tenerrinus	202	Hymenoptera	Andrenidae	Andrena	1
BAT2CA	2	8	Asteracea	Aetheorrina_bulbosa	115	Coleoptera	Chrysomelidae	Criptocephalus	3
BAT2CA	4	32	Asteracea	Sonchus_tenerrinus	225	Hymenoptera	Colletidae	Hylaeus	2
BAT2CA	2	4	Aizoacea	Carpobrotus_spp._acinaciformis	119	Coleoptera	Mordelidae	Mordella_bipunctata	1
BAT2CA	2	8	Asteracea	Aetheorrina_bulbosa	119	Coleoptera	Mordelidae	Mordella_bipunctata	1
BAT2CA	4	32	Asteracea	Sonchus_tenerrinus	250	Coleoptera	Coleoptera3	C59	1
BAT2CA	2	24	Labiada	Lavandula_stoechas	172	Lepidoptera	Lycaneidae	Callophrys_rubi	1
BAT2CA	2	4	Aizoacea	Carpobrotus_spp._acinaciformis	181	Hymenoptera	Megachilidae	Megaquile	1
BAT2CA	2	24	Labiada	Lavandula_stoechas	181	Hymenoptera	Megachilidae	Megaquile	1
BAT2CA	5	31	Asteracea	Urospermum_picrioides	105	Coleoptera	Oedemeridae	Oedemera_lurida	3
BAT2CA	2	24	Labiada	Lavandula_stoechas	184	Hymenoptera	Anthophoridae	Amegilla_femorata?	1
BAT2CA	2	24	Labiada	Lavandula_stoechas	185	Hymenoptera	Andrenidae	Andrena	1
BAT2CA	2	24	Labiada	Lavandula_stoechas	189	Hymenoptera	Anthophoridae	Anthophora	1
BAT2CA	2	4	Aizoacea	Carpobrotus_spp._acinaciformis	191	Hymenoptera	Anthophoridae	Eucera	1
BAT2CA	5	32	Asteracea	Sonchus_tenerrinus	105	Coleoptera	Oedemeridae	Oedemera_lurida	1
BAT2CA	5	31	Asteracea	Urospermum_picrioides	115	Coleoptera	Chrysomelidae	Criptocephalus	1
BAT2CA	2	4	Aizoacea	Carpobrotus_spp._acinaciformis	197	Hymenoptera	Megachilidae	Osmia	2
BAT2CA	5	31	Asteracea	Urospermum_picrioides	126	Coleoptera	Mordelidae	Mordellistena_pumila	2
BAT2CA	3	4	Aizoacea	Carpobrotus_spp._acinaciformis	11	Hymenoptera	Megachilidae	Anthidium_sticticum	1
BAT2CA	3	24	Labiada	Lavandula_stoechas	11	Hymenoptera	Megachilidae	Anthidium_sticticum	4
BAT2CA	5	32	Asteracea	Sonchus_tenerrinus	187	Hymenoptera	Andrenidae	Andrena	2
BAT2CA	3	24	Labiada	Lavandula_stoechas	61	Diptera	Milichidae	D9	1
BAT2CA	3	4	Aizoacea	Carpobrotus_spp._acinaciformis	105	Coleoptera	Oedemeridae	Oedemera_lurida	1
BAT2CA	3	4	Aizoacea	Carpobrotus_spp._acinaciformis	106	Coleoptera	Scarabaeidae	Oxythyrea_funesta	1
BAT2CA	5	32	Asteracea	Sonchus_tenerrinus	245	Hymenoptera	Andrenidae	Andrena	1
BAT2CA	3	4	Aizoacea	Carpobrotus_spp._acinaciformis	109	Coleoptera	Dasytidae	C4	1
BAT2CA	3	4	Aizoacea	Carpobrotus_spp._acinaciformis	112	Coleoptera	Ptinidae?_Bruchidae?	C7	1
BAT2CA	3	4	Aizoacea	Carpobrotus_spp._acinaciformis	114	Coleoptera	Dasytidae	Psilothrix	1
BAT2CA	3	8	Asteracea	Aetheorrina_bulbosa	114	Coleoptera	Dasytidae	Psilothrix	1
BAT2CA	5	31	Asteracea	Urospermum_picrioides	246	Hymenoptera	Andrenidae	Andrena	1
BAT2CA	3	8	Asteracea	Aetheorrina_bulbosa	115	Coleoptera	Chrysomelidae	Criptocephalus	1
BAT2CA	5	32	Asteracea	Sonchus_tenerrinus	246	Hymenoptera	Andrenidae	Andrena	1
BAT2CA	3	8	Asteracea	Aetheorrina_bulbosa	187	Hymenoptera	Andrenidae	Andrena	1
BAT2CA	5	31	Asteracea	Urospermum_picrioides	248	Hymenoptera	Andrenidae	Andrena	1
FRA1OP	1	32	Asteracea	Sonchus_tenerrinus	13	Hymenoptera	Apoidea	Apis_melifera	1
BAT2CA	3	8	Asteracea	Aetheorrina_bulbosa	194	Hymenoptera	Anthophoridae	Nomada	1
BAT2CA	3	4	Aizoacea	Carpobrotus_spp._acinaciformis	202	Hymenoptera	Andrenidae	Andrena	1
FRA1OP	1	32	Asteracea	Sonchus_tenerrinus	33	Hymenoptera	Halictidae	Lasioglossum	1
FRA1OP	1	32	Asteracea	Sonchus_tenerrinus	35	Hymenoptera	Halictidae	Lasioglossum	1
BAT2CA	4	4	Aizoacea	Carpobrotus_spp._acinaciformis	11	Hymenoptera	Megachilidae	Anthidium_sticticum	1
BAT2CA	4	24	Labiada	Lavandula_stoechas	11	Hymenoptera	Megachilidae	Anthidium_sticticum	3
BAT2CA	4	4	Aizoacea	Carpobrotus_spp._acinaciformis	13	Hymenoptera	Apoidea	Apis_melifera	4
FRA1OP	1	32	Asteracea	Sonchus_tenerrinus	52	Hymenoptera	Apoidea	Bombus_terrestris	1
BAT2CA	4	13	Convolvulacea	Convolvulus_althaeoides	47	Hymenoptera	Formicidae	Plagiolepsis_pigmaea	2
BAT2CA	4	4	Aizoacea	Carpobrotus_spp._acinaciformis	52	Hymenoptera	Apoidea	Bombus_terrestris	1
BAT2CA	4	4	Aizoacea	Carpobrotus_spp._acinaciformis	104	Coleoptera	Oedemeridae	Oedemera_nobilis	1
FRA1OP	1	32	Asteracea	Sonchus_tenerrinus	188	Hymenoptera	Andrenidae	Andrena	1
BAT2CA	4	4	Aizoacea	Carpobrotus_spp._acinaciformis	105	Coleoptera	Oedemeridae	Oedemera_lurida	2
FRA1OP	1	31	Asteracea	Urospermum_picrioides	190	Hymenoptera	Anthophoridae	Anthophora	1
BAT2CA	4	4	Aizoacea	Carpobrotus_spp._acinaciformis	106	Coleoptera	Scarabaeidae	Oxythyrea_funesta	1
FRA1OP	1	32	Asteracea	Sonchus_tenerrinus	248	Hymenoptera	Andrenidae	Andrena	1
BAT2CA	4	4	Aizoacea	Carpobrotus_spp._acinaciformis	114	Coleoptera	Dasytidae	Psilothrix	2
FRA1OP	2	32	Asteracea	Sonchus_tenerrinus	13	Hymenoptera	Apoidea	Apis_melifera	1
FRA1OP	2	32	Asteracea	Sonchus_tenerrinus	206	Hymenoptera	Hailictidae	Sphecodes	1
FRA1OP	2	32	Asteracea	Sonchus_tenerrinus	215	Hymenoptera	Scolidae	Scolia	1
BAT2CA	4	8	Asteracea	Aetheorrina_bulbosa	125	Coleoptera	Oedemeridae	Oedemera_flavipes	1
FRA1OP	2	32	Asteracea	Sonchus_tenerrinus	231	Diptera	Sirphidae	Sphaerophoeria	1
FRA1OP	2	32	Asteracea	Sonchus_tenerrinus	239	Hymenoptera	Anthophoridae	Nomada	1
FRA1OP	2	32	Asteracea	Sonchus_tenerrinus	248	Hymenoptera	Andrenidae	Andrena	3
FRA1OP	3	32	Asteracea	Sonchus_tenerrinus	33	Hymenoptera	Halictidae	Lasioglossum	1
FRA1OP	3	32	Asteracea	Sonchus_tenerrinus	35	Hymenoptera	Halictidae	Lasioglossum	1
BAT2CA	4	4	Aizoacea	Carpobrotus_spp._acinaciformis	242	Hymenoptera	Halictidae	Halictus	1
BAT2CA	4	24	Labiada	Lavandula_stoechas	243	Hymenoptera	Halictidae	Halictus	1
FRA1OP	3	32	Asteracea	Sonchus_tenerrinus	248	Hymenoptera	Andrenidae	Andrena	1
BAT2CA	5	24	Labiada	Lavandula_stoechas	11	Hymenoptera	Megachilidae	Anthidium_sticticum	1
FRA2OP	1	32	Asteracea	Sonchus_tenerrinus	13	Hymenoptera	Apoidea	Apis_melifera	1
BAT2CA	5	4	Aizoacea	Carpobrotus_spp._acinaciformis	52	Hymenoptera	Apoidea	Bombus_terrestris	3
BAT2CA	5	4	Aizoacea	Carpobrotus_spp._acinaciformis	105	Coleoptera	Oedemeridae	Oedemera_lurida	5
BAT2CA	5	8	Asteracea	Aetheorrina_bulbosa	105	Coleoptera	Oedemeridae	Oedemera_lurida	2
BAT2CA	5	13	Convolvulacea	Convolvulus_althaeoides	105	Coleoptera	Oedemeridae	Oedemera_lurida	1
FRA2OP	1	32	Asteracea	Sonchus_tenerrinus	26	Hymenoptera	Halictidae	Halictus_pyrenaicus	1
FRA2OP	1	32	Asteracea	Sonchus_tenerrinus	105	Coleoptera	Oedemeridae	Oedemera_lurida	1
BAT2CA	5	4	Aizoacea	Carpobrotus_spp._acinaciformis	106	Coleoptera	Scarabaeidae	Oxythyrea_funesta	3
FRA2OP	1	32	Asteracea	Sonchus_tenerrinus	167	Coleoptera	Oedemeridae	Oedemera_barbara	2
BAT2CA	5	4	Aizoacea	Carpobrotus_spp._acinaciformis	125	Coleoptera	Oedemeridae	Oedemera_flavipes	3
BAT2CA	5	13	Convolvulacea	Convolvulus_althaeoides	125	Coleoptera	Oedemeridae	Oedemera_flavipes	2
BAT2CA	5	4	Aizoacea	Carpobrotus_spp._acinaciformis	126	Coleoptera	Mordelidae	Mordellistena_pumila	1
BAT2CA	5	8	Asteracea	Aetheorrina_bulbosa	126	Coleoptera	Mordelidae	Mordellistena_pumila	1
FRA2OP	1	32	Asteracea	Sonchus_tenerrinus	204	Hymenoptera	Andrenidae	Andrena	2
FRA2OP	2	32	Asteracea	Sonchus_tenerrinus	26	Hymenoptera	Halictidae	Halictus_pyrenaicus	1
BAT2CA	5	4	Aizoacea	Carpobrotus_spp._acinaciformis	207	Coleoptera	Coleotera1	C57	3
BAT2CA	5	24	Labiada	Lavandula_stoechas	242	Hymenoptera	Halictidae	Halictus	1
FRA2OP	2	32	Asteracea	Sonchus_tenerrinus	29	Hymenoptera	Halictidae	Halictus_gemmeus	1
FRA2OP	2	31	Asteracea	Urospermum_picrioides	33	Hymenoptera	Halictidae	Lasioglossum	1
FRA2OP	2	32	Asteracea	Sonchus_tenerrinus	35	Hymenoptera	Halictidae	Lasioglossum	1
FRA2OP	2	31	Asteracea	Urospermum_picrioides	188	Hymenoptera	Andrenidae	Andrena	1
FRA2OP	2	32	Asteracea	Sonchus_tenerrinus	204	Hymenoptera	Andrenidae	Andrena	1
FRA1OP	1	68	Boraginaceae	Equium_sabulicola	21	Hymenoptera	Anthophoridae	Ceratina_curcubitina	1
FRA1OP	1	14	Umbelifera	Daucus_carota_carota	29	Hymenoptera	Halictidae	Halictus_gemmeus	1
FRA2OP	2	32	Asteracea	Sonchus_tenerrinus	230	Hymenoptera	Colletidae	Hylaeus	1
FRA1OP	1	13	Convolvulacea	Convolvulus_althaeoides	35	Hymenoptera	Halictidae	Lasioglossum	1
FRA2OP	2	32	Asteracea	Sonchus_tenerrinus	231	Diptera	Sirphidae	Sphaerophoeria	1
FRA1OP	1	68	Boraginaceae	Equium_sabulicola	35	Hymenoptera	Halictidae	Lasioglossum	1
FRA2OP	2	32	Asteracea	Sonchus_tenerrinus	248	Hymenoptera	Andrenidae	Andrena	2
FRA1OP	1	14	Umbelifera	Daucus_carota_carota	112	Coleoptera	Ptinidae?_Bruchidae?	C7	1
FRA1OP	1	13	Convolvulacea	Convolvulus_althaeoides	126	Coleoptera	Mordelidae	Mordellistena_pumila	2
FRA1OP	1	14	Umbelifera	Daucus_carota_carota	126	Coleoptera	Mordelidae	Mordellistena_pumila	2
FRA2OP	3	32	Asteracea	Sonchus_tenerrinus	26	Hymenoptera	Halictidae	Halictus_pyrenaicus	1
FRA2OP	3	32	Asteracea	Sonchus_tenerrinus	35	Hymenoptera	Halictidae	Lasioglossum	2
FRA2OP	3	32	Asteracea	Sonchus_tenerrinus	248	Hymenoptera	Andrenidae	Andrena	4
FRA1OP	2	14	Umbelifera	Daucus_carota_carota	13	Hymenoptera	Apoidea	Apis_melifera	1
MED1CA	1	32	Asteracea	Sonchus_tenerrinus	187	Hymenoptera	Andrenidae	Andrena	1
FRA1OP	2	68	Boraginaceae	Equium_sabulicola	21	Hymenoptera	Anthophoridae	Ceratina_curcubitina	1
FRA1OP	2	14	Umbelifera	Daucus_carota_carota	29	Hymenoptera	Halictidae	Halictus_gemmeus	1
FRA1OP	2	14	Umbelifera	Daucus_carota_carota	105	Coleoptera	Oedemeridae	Oedemera_lurida	2
FRA1OP	2	13	Convolvulacea	Convolvulus_althaeoides	109	Coleoptera	Dasytidae	C4	1
FRA1OP	2	13	Convolvulacea	Convolvulus_althaeoides	126	Coleoptera	Mordelidae	Mordellistena_pumila	5
FRA1OP	2	14	Umbelifera	Daucus_carota_carota	126	Coleoptera	Mordelidae	Mordellistena_pumila	3
FRA1OP	2	20	Umbelifera	Eryngium_campestre	126	Coleoptera	Mordelidae	Mordellistena_pumila	2
FRA1OP	2	14	Umbelifera	Daucus_carota_carota	204	Hymenoptera	Andrenidae	Andrena	1
MED1CA	5	31	Asteracea	Urospermum_picrioides	248	Hymenoptera	Andrenidae	Andrena	1
FRA1OP	2	13	Convolvulacea	Convolvulus_althaeoides	207	Coleoptera	Coleotera1	C57	1
MED2CA	1	32	Asteracea	Sonchus_tenerrinus	185	Hymenoptera	Andrenidae	Andrena	1
FRA1OP	2	14	Umbelifera	Daucus_carota_carota	226	Hymenoptera	Colletidae	Hylaeus	1
MED2CA	1	32	Asteracea	Sonchus_tenerrinus	186	Hymenoptera	Andrenidae	Andrena	1
MED2CA	2	32	Asteracea	Sonchus_tenerrinus	185	Hymenoptera	Andrenidae	Andrena	1
MED2CA	3	32	Asteracea	Sonchus_tenerrinus	114	Coleoptera	Dasytidae	Psilothrix	1
FRA1OP	3	14	Umbelifera	Daucus_carota_carota	29	Hymenoptera	Halictidae	Halictus_gemmeus	2
FRA1OP	3	14	Umbelifera	Daucus_carota_carota	33	Hymenoptera	Halictidae	Lasioglossum	1
MED2CA	3	32	Asteracea	Sonchus_tenerrinus	187	Hymenoptera	Andrenidae	Andrena	1
FRA1OP	3	14	Umbelifera	Daucus_carota_carota	34	Hymenoptera	Halictidae	Lasioglossum	1
MED2CA	4	22	Asteracea	Galactites_tomentosa	13	Hymenoptera	Apoidea	Apis_melifera	1
FRA1OP	3	14	Umbelifera	Daucus_carota_carota	119	Coleoptera	Mordelidae	Mordella_bipunctata	1
FRA1OP	3	14	Umbelifera	Daucus_carota_carota	226	Hymenoptera	Colletidae	Hylaeus	1
FRA1OP	3	14	Umbelifera	Daucus_carota_carota	227	Hymenoptera	Colletidae	Hylaeus	1
MED2CA	4	31	Asteracea	Urospermum_picrioides	105	Coleoptera	Oedemeridae	Oedemera_lurida	1
MED2CA	4	32	Asteracea	Sonchus_tenerrinus	106	Coleoptera	Scarabaeidae	Oxythyrea_funesta	1
FRA1OP	4	14	Umbelifera	Daucus_carota_carota	29	Hymenoptera	Halictidae	Halictus_gemmeus	1
MED2CA	4	32	Asteracea	Sonchus_tenerrinus	114	Coleoptera	Dasytidae	Psilothrix	1
FRA1OP	4	14	Umbelifera	Daucus_carota_carota	119	Coleoptera	Mordelidae	Mordella_bipunctata	2
FRA1OP	4	14	Umbelifera	Daucus_carota_carota	126	Coleoptera	Mordelidae	Mordellistena_pumila	3
MED2CA	4	31	Asteracea	Urospermum_picrioides	115	Coleoptera	Chrysomelidae	Criptocephalus	1
MED2CA	4	32	Asteracea	Sonchus_tenerrinus	187	Hymenoptera	Andrenidae	Andrena	3
MED2CA	4	32	Asteracea	Sonchus_tenerrinus	194	Hymenoptera	Anthophoridae	Nomada	1
MED2CA	4	22	Asteracea	Galactites_tomentosa	249	Coleoptera	Coleoptera4	C58	3
FRA2OP	1	13	Convolvulacea	Convolvulus_althaeoides	29	Hymenoptera	Halictidae	Halictus_gemmeus	1
MED2CA	5	31	Asteracea	Urospermum_picrioides	126	Coleoptera	Mordelidae	Mordellistena_pumila	1
FRA2OP	1	14	Umbelifera	Daucus_carota_carota	125	Coleoptera	Oedemeridae	Oedemera_flavipes	1
FRA2OP	1	13	Convolvulacea	Convolvulus_althaeoides	126	Coleoptera	Mordelidae	Mordellistena_pumila	3
MED2CA	5	38	Asteracea	Helichrisum_stoechas	126	Coleoptera	Mordelidae	Mordellistena_pumila	2
MED2CA	5	31	Asteracea	Urospermum_picrioides	247	Hymenoptera	Andrenidae	Andrena	1
FRA2OP	1	13	Convolvulacea	Convolvulus_althaeoides	207	Coleoptera	Coleotera1	C57	1
MED2CA	6	31	Asteracea	Urospermum_picrioides	105	Coleoptera	Oedemeridae	Oedemera_lurida	1
MED2CA	6	38	Asteracea	Helichrisum_stoechas	105	Coleoptera	Oedemeridae	Oedemera_lurida	1
MED2CA	6	38	Asteracea	Helichrisum_stoechas	106	Coleoptera	Scarabaeidae	Oxythyrea_funesta	1
MED2CA	6	38	Asteracea	Helichrisum_stoechas	126	Coleoptera	Mordelidae	Mordellistena_pumila	6
MED2CA	6	31	Asteracea	Urospermum_picrioides	247	Hymenoptera	Andrenidae	Andrena	1
MED3CA	1	32	Asteracea	Sonchus_tenerrinus	185	Hymenoptera	Andrenidae	Andrena	1
MED3CA	2	32	Asteracea	Sonchus_tenerrinus	23	Hymenoptera	Colletidae	Colletes	1
MED3CA	2	32	Asteracea	Sonchus_tenerrinus	114	Coleoptera	Dasytidae	Psilothrix	1
MED3CA	2	32	Asteracea	Sonchus_tenerrinus	185	Hymenoptera	Andrenidae	Andrena	3
MED3CA	2	32	Asteracea	Sonchus_tenerrinus	187	Hymenoptera	Andrenidae	Andrena	1
MED3CA	2	32	Asteracea	Sonchus_tenerrinus	205	Coleoptera	Coleoptera2	C56	1
MED3CA	4	31	Asteracea	Urospermum_picrioides	26	Hymenoptera	Halictidae	Halictus_pyrenaicus	1
FRA2OP	2	13	Convolvulacea	Convolvulus_althaeoides	109	Coleoptera	Dasytidae	C4	1
FRA2OP	2	14	Umbelifera	Daucus_carota_carota	126	Coleoptera	Mordelidae	Mordellistena_pumila	4
FRA2OP	2	20	Umbelifera	Eryngium_campestre	126	Coleoptera	Mordelidae	Mordellistena_pumila	1
MED3CA	4	22	Asteracea	Galactites_tomentosa	105	Coleoptera	Oedemeridae	Oedemera_lurida	1
MED3CA	4	22	Asteracea	Galactites_tomentosa	106	Coleoptera	Scarabaeidae	Oxythyrea_funesta	2
FRA2OP	2	13	Convolvulacea	Convolvulus_althaeoides	207	Coleoptera	Coleotera1	C57	1
MED3CA	4	32	Asteracea	Sonchus_tenerrinus	185	Hymenoptera	Andrenidae	Andrena	1
MED3CA	4	22	Asteracea	Galactites_tomentosa	198	Hymenoptera	Megachilidae	Osmia	1
MED3CA	4	22	Asteracea	Galactites_tomentosa	243	Hymenoptera	Halictidae	Halictus	1
MED3CA	5	22	Asteracea	Galactites_tomentosa	13	Hymenoptera	Apoidea	Apis_melifera	1
